LONG,LAT,Cor_nT
322656.28,1019714.91,33003.4462
322656.29,1019714.89,33003.9092
322656.29,1019714.93,33004.35
322656.29,1019714.93,33004.4198
322656.32,1019715.02,33004.3778
322656.23,1019714.96,33004.4292
322656.3,1019714.97,33004.4131
322656.3,1019714.96,33004.4251
322656.32,1019714.95,33004.4346
322656.31,1019714.99,33004.4242
322656.19,1019714.95,33004.4636
322656.07,1019715.02,33004.4686
322656.06,1019715.1,33004.2892
322604.28,1019728.76,33010.5434
322604.27,1019728.76,33010.4565
322604.25,1019728.78,33010.4897
322604.08,1019728.71,33010.5158
322603.22,1019728.19,33008.6975
322602.89,1019728.78,33008.3545
322602.56,1019728.84,33010.8556
322601.86,1019729.19,33011.1685
322602.01,1019729.64,33009.6526
322601.39,1019729.5,33008.2287
322600.99,1019729.22,32852.8278
322600.15,1019728.9,27339.769
322599.52,1019728.31,28767.2188
322595.82,1019727.33,26872.1621
322595.85,1019727.42,26871.8947
322595.7,1019727.49,26871.9516
322595.64,1019727.47,26872.4312
322595.29,1019727.85,28768.7444
322595.11,1019727.95,28769.1543
322595.26,1019728.06,28769.684
322595.19,1019728.12,28773.1119
322595.27,1019728.04,29210.486
322595.28,1019727.65,30665.3244
322595.26,1019727.61,30666.4959
322593.84,1019727.48,33010.1707
322593.84,1019727.49,33010.1808
322593.63,1019727.71,33010.027
322592.89,1019727.98,33008.7347
322592.05,1019728.35,33007.6727
322591.03,1019728.34,33007.411
322590.29,1019728.09,33007.1948
322589,1019727.88,33006.5942
322588.53,1019727.64,33005.8814
322587.95,1019726.95,33005.1525
322586.92,1019726.22,33004.6105
322581.88,1019725.06,33003.358
322581.27,1019725.02,33003.1921
322580.6,1019724.6,33002.9384
322580.1,1019724.29,33002.6897
322579.89,1019723.61,33002.9322
322579.45,1019723.93,33003.1421
322578.8,1019723.59,33003.2815
322577.94,1019723.41,33002.6542
322577.37,1019722.62,33001.834
322576.56,1019722.5,33001.4154
322575.66,1019722.4,33001.1831
322575.14,1019722.38,33001.1065
322574.37,1019722.48,33000.7263
322573.48,1019722.59,33000.5336
322572.97,1019723.04,33000.4746
322572.38,1019723,33000.419
322571.92,1019722.64,33000.403
322571.38,1019721.93,32999.4818
322570.82,1019721.22,32997.6879
